Street Segement,SHAPELEN,District_1,District_2,TRAIN_ONEHOT,METRO_BLUESILVER,LIQUOR_ONEHOT,METRO_ORANGE,District_3,GRAFFITI_ONEHOT,District_4,District_5,District_6,District_7,GAS_ONEHOT,METRO_RED,METRO_GREEN,METRO_YELLOW,PUBLICSCHOOL_ES_ONEHOT,PUBLICSCHOOL_MS_ONEHOT,PUBLICSCHOOL_HS_ONEHOT,FAGI_MEDIAN_2015,POPDENSITY,HOUSINGDENSITY,PERCVACANTHOUSING,FAGI_MEDIAN_CHANGE,FEDERAL_ONEHOT,CORRIDOR_ONEHOT,HOMICIDES_ONEHOT
84,119.22012,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,55310,14644.86755,6267.273419,0.174341093,1.21996105,1,0,0
85,102.78124,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28943.5,6044.636717,2981.34256,0.073933649,1.363844124,0,0,0
86,92.77853,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88216.5,15270.35514,7934.542535,0.101047317,1.160521317,1,0,0
87,118.65031,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42315,2076.424622,798.2632629,0.075481799,1.045511823,1,0,0
88,114.24144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,61898,8038.697722,5583.672711,0.131058379,1.176106896,0,0,0
89,62.40015,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96212.25,19760.70076,11068.81386,0.090914121,1.107175581,1,0,0
90,184.85633,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,7.485821802,1.814744679,0,NaN,1,0,0
91,119.45461,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100633.5,8048.275319,6558.064624,0.215091067,1.209653572,0,0,0
92,134.29321,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,52042,12060.37509,7514.603292,0.184689507,1.128012832,1,0,0
93,89.07094,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52042,12060.37509,7514.603292,0.184689507,1.128012832,1,0,0
94,170.94756,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,7.485821802,1.814744679,0,NaN,1,0,0
95,143.6451,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,7.485821802,1.814744679,0,NaN,1,0,0
